1;Costa Rica;1a;79.3;7.3;62.6;2.52;64.0;4659000;11569;40
2;Vietnam;6c;75.2;5.8;50.6;1.39;60.4;86928000;3205;94
3;Colombia;1b;73.7;6.4;53.2;1.80;59.8;46295000;9453;80
4;Belize;1a;76.1;6.5;55.2;2.11;59.3;345000;6670;63
5;El Salvador;1a;72.2;6.7;54.0;1.99;58.9;6193000;6668;61
6;Jamaica;1a;73.1;6.2;51.7;1.72;58.5;2702000;7673;58
7;Panama;1a;76.1;7.3;60.3;2.97;57.8;2620000;13608;56
8;Nicaragua;1a;74.0;5.7;49.3;1.56;57.1;5789000;2913;108
9;Venezuela;1b;74.4;7.5;59.9;3.02;56.9;28834000;12233;140
10;Guatemala;1a;71.2;6.3;50.8;1.78;56.9;14389000;4785;102
11;Bangladesh;5a;68.9;5.0;42.2;0.66;56.3;148692000;1659;117
12;Cuba;1a;79.1;5.4;51.1;1.90;56.2;11258000;5253;93
13;Honduras;1a;73.1;5.9;49.7;1.73;56.0;7600000;3923;103
14;Indonesia;6c;69.4;5.5;45.0;1.13;55.5;239870000;4325;91
15;Israel;3b;81.6;7.4;64.9;3.96;55.2;7624000;28573;41
16;Pakistan;5a;65.4;5.3;41.5;0.75;54.1;173593000;2688;132
17;Argentina;1b;75.9;6.4;55.0;2.71;54.1;40412000;16012;73
18;Albania;7b;76.9;5.3;48.8;1.81;54.1;3205000;8592;65
19;Chile;1b;79.1;6.6;58.5;3.24;53.9;17113688;15779;23
20;Thailand;6c;74.1;6.2;52.4;2.41;53.5;69122000;8554;82
21;Brazil;1b;73.5;6.8;55.5;2.93;52.9;194946000;11210;53
22;Mexico;1a;77.0;6.8;58.0;3.30;52.9;113423000;14564;67
23;Ecuador;1b;75.6;5.8;51.3;2.37;52.5;14465000;8028;113
24;Peru;1b;74.0;5.6;48.9;2.03;52.4;29076000;9538;68
25;Philippines;6c;68.7;4.9;41.8;0.98;52.4;93261000;3969;97
26;Algeria;3a;73.1;5.2;46.2;1.65;52.2;35468000;8433;118
27;Jordan;3b;73.4;5.7;49.0;2.13;51.7;6047000;5749;60
28;New Zealand;2a;80.7;7.2;63.4;4.31;51.6;4368000;29535;4
29;Norway;2d;81.1;7.6;66.3;4.77;51.4;4889000;57231;7
30;Palestine;3b;72.8;4.8;43.8;1.40;51.2;3780000;2613;n/a
31;Guyana;1a;69.9;6.0;48.2;2.08;51.2;755000;3432;84
32;India;5a;65.4;5.0;40.1;0.87;50.9;1224615000;3425;78
33;Dominican Republic;1a;73.4;4.7;43.5;1.42;50.7;9927000;9350;88
34;Switzerland;2c;82.3;7.5;66.5;5.01;50.3;7826000;46384;6
35;Sri Lanka;5a;74.9;4.2;41.2;1.21;49.4;20860000;5078;85
36;Iraq;3b;69.0;5.0;42.4;1.42;49.2;32031000;3562;145
37;Laos;6c;67.5;5.0;41.6;1.30;49.1;6201000;2551;125
38;Kyrgyzstan;7a;67.7;5.0;41.5;1.29;49.1;5448000;2239;116
39;Tunisia;3a;74.5;4.7;43.9;1.76;48.3;10549000;9550;66
40;Moldova;7b;69.3;5.6;45.7;2.10;48.0;3562000;3110;87
41;United Kingdom;2c;80.2;7.0;61.8;4.71;47.9;62232000;35686;17
42;Morocco;3a;72.2;4.4;40.8;1.32;47.9;31951000;4712;79
43;Tajikistan;7a;67.5;4.4;38.2;0.90;47.8;6879000;2163;131
44;Turkey;3b;74.0;5.5;48.2;2.55;47.6;72752000;15687;57
45;Japan;6b;83.4;6.1;58.0;4.17;47.5;127451000;33733;22
46;Germany;2c;80.4;6.7;60.0;4.57;47.2;81777000;37402;15
47;Syria;3b;75.9;4.1;41.1;1.45;47.1;20447000;5285;123
48;Austria;2c;80.9;7.3;64.3;5.29;47.1;8390000;40006;11
49;Madagascar;4a;66.7;4.6;39.1;1.16;46.8;20714000;969;110
50;France;2c;81.5;6.8;61.3;4.91;46.5;64895000;34123;19
51;Italy;2e;81.9;6.4;58.8;4.52;46.4;60483000;31954;42
52;Sweden;2d;81.4;7.5;65.6;5.71;46.2;9378000;39024;3
53;Armenia;7a;74.2;4.4;41.9;1.73;46.0;3092000;5463;77
54;Uzbekistan;7a;68.3;5.1;42.4;1.82;46.0;28228000;3106;142
55;Georgia;7a;73.7;4.1;40.1;1.43;46.0;4452000;5074;59
