1;Costa Rica;1a;79,3;7,3;62,6;2,52;64,0;4Ê659Ê000 ; 11Ê569 ;40
2;Vietnam;6c;75,2;5,8;50,6;1,39;60,4;86Ê928Ê000 ; 3Ê205 ;94
3;Colombia;1b;73,7;6,4;53,2;1,80;59,8;46Ê295Ê000 ; 9Ê453 ;80
4;Belize;1a;76,1;6,5;55,2;2,11;59,3;345Ê000 ; 6Ê670 ;63
5;El Salvador;1a;72,2;6,7;54,0;1,99;58,9;6Ê193Ê000 ; 6Ê668 ;61
6;Jamaica;1a;73,1;6,2;51,7;1,72;58,5;2Ê702Ê000 ; 7Ê673 ;58
7;Panama;1a;76,1;7,3;60,3;2,97;57,8;2Ê620Ê000 ; 13Ê608 ;56
8;Nicaragua;1a;74,0;5,7;49,3;1,56;57,1;5Ê789Ê000 ; 2Ê913 ;108
9;Venezuela;1b;74,4;7,5;59,9;3,02;56,9;28Ê834Ê000 ; 12Ê233 ;140
10;Guatemala;1a;71,2;6,3;50,8;1,78;56,9;14Ê389Ê000 ; 4Ê785 ;102
11;Bangladesh;5a;68,9;5,0;42,2;0,66;56,3;148Ê692Ê000 ; 1Ê659 ;117
12;Cuba;1a;79,1;5,4;51,1;1,90;56,2;11Ê258Ê000 ; 5Ê253 ;93
13;Honduras;1a;73,1;5,9;49,7;1,73;56,0;7Ê600Ê000 ; 3Ê923 ;103
14;Indonesia;6c;69,4;5,5;45,0;1,13;55,5;239Ê870Ê000 ; 4Ê325 ;91
15;Israel;3b;81,6;7,4;64,9;3,96;55,2;7Ê624Ê000 ; 28Ê573 ;41
16;Pakistan;5a;65,4;5,3;41,5;0,75;54,1;173Ê593Ê000 ; 2Ê688 ;132
17;Argentina;1b;75,9;6,4;55,0;2,71;54,1;40Ê412Ê000 ; 16Ê012 ;73
18;Albania;7b;76,9;5,3;48,8;1,81;54,1;3Ê205Ê000 ; 8Ê592 ;65
19;Chile;1b;79,1;6,6;58,5;3,24;53,9;17Ê113Ê688 ; 15Ê779 ;23
20;Thailand;6c;74,1;6,2;52,4;2,41;53,5;69Ê122Ê000 ; 8Ê554 ;82
21;Brazil;1b;73,5;6,8;55,5;2,93;52,9;194Ê946Ê000 ; 11Ê210 ;53
22;Mexico;1a;77,0;6,8;58,0;3,30;52,9;113Ê423Ê000 ; 14Ê564 ;67
23;Ecuador;1b;75,6;5,8;51,3;2,37;52,5;14Ê465Ê000 ; 8Ê028 ;113
24;Peru;1b;74,0;5,6;48,9;2,03;52,4;29Ê076Ê000 ; 9Ê538 ;68
25;Philippines;6c;68,7;4,9;41,8;0,98;52,4;93Ê261Ê000 ; 3Ê969 ;97
26;Algeria;3a;73,1;5,2;46,2;1,65;52,2;35Ê468Ê000 ; 8Ê433 ;118
27;Jordan;3b;73,4;5,7;49,0;2,13;51,7;6Ê047Ê000 ; 5Ê749 ;60
28;New Zealand;2a;80,7;7,2;63,4;4,31;51,6;4Ê368Ê000 ; 29Ê535 ;4
29;Norway;2d;81,1;7,6;66,3;4,77;51,4;4Ê889Ê000 ; 57Ê231 ;7
30;Palestine;3b;72,8;4,8;43,8;1,40;51,2;3Ê780Ê000 ; 2Ê613 ;n/a
31;Guyana;1a;69,9;6,0;48,2;2,08;51,2;755Ê000 ; 3Ê432 ;84
32;India;5a;65,4;5,0;40,1;0,87;50,9;1Ê224Ê615Ê000 ; 3Ê425 ;78
33;Dominican Republic;1a;73,4;4,7;43,5;1,42;50,7;9Ê927Ê000 ; 9Ê350 ;88
34;Switzerland;2c;82,3;7,5;66,5;5,01;50,3;7Ê826Ê000 ; 46Ê384 ;6
35;Sri Lanka;5a;74,9;4,2;41,2;1,21;49,4;20Ê860Ê000 ; 5Ê078 ;85
36;Iraq;3b;69,0;5,0;42,4;1,42;49,2;32Ê031Ê000 ; 3Ê562 ;145
37;Laos;6c;67,5;5,0;41,6;1,30;49,1;6Ê201Ê000 ; 2Ê551 ;125
38;Kyrgyzstan;7a;67,7;5,0;41,5;1,29;49,1;5Ê448Ê000 ; 2Ê239 ;116
39;Tunisia;3a;74,5;4,7;43,9;1,76;48,3;10Ê549Ê000 ; 9Ê550 ;66
40;Moldova;7b;69,3;5,6;45,7;2,10;48,0;3Ê562Ê000 ; 3Ê110 ;87
41;United Kingdom;2c;80,2;7,0;61,8;4,71;47,9;62Ê232Ê000 ; 35Ê686 ;17
42;Morocco;3a;72,2;4,4;40,8;1,32;47,9;31Ê951Ê000 ; 4Ê712 ;79
43;Tajikistan;7a;67,5;4,4;38,2;0,90;47,8;6Ê879Ê000 ; 2Ê163 ;131
44;Turkey;3b;74,0;5,5;48,2;2,55;47,6;72Ê752Ê000 ; 15Ê687 ;57
45;Japan;6b;83,4;6,1;58,0;4,17;47,5;127Ê451Ê000 ; 33Ê733 ;22
46;Germany;2c;80,4;6,7;60,0;4,57;47,2;81Ê777Ê000 ; 37Ê402 ;15
47;Syria;3b;75,9;4,1;41,1;1,45;47,1;20Ê447Ê000 ; 5Ê285 ;123
48;Austria;2c;80,9;7,3;64,3;5,29;47,1;8Ê390Ê000 ; 40Ê006 ;11
49;Madagascar;4a;66,7;4,6;39,1;1,16;46,8;20Ê714Ê000 ; 969 ;110
50;France;2c;81,5;6,8;61,3;4,91;46,5;64Ê895Ê000 ; 34Ê123 ;19
51;Italy;2e;81,9;6,4;58,8;4,52;46,4;60Ê483Ê000 ; 31Ê954 ;42
52;Sweden;2d;81,4;7,5;65,6;5,71;46,2;9Ê378Ê000 ; 39Ê024 ;3
53;Armenia;7a;74,2;4,4;41,9;1,73;46,0;3Ê092Ê000 ; 5Ê463 ;77
54;Uzbekistan;7a;68,3;5,1;42,4;1,82;46,0;28Ê228Ê000 ; 3Ê106 ;142
55;Georgia;7a;73,7;4,1;40,1;1,43;46,0;4Ê452Ê000 ; 5Ê074 ;59
56;Saudi Arabia;3b;73,9;6,7;55,2;3,99;46,0;27Ê448Ê000 ; 22Ê713 ;74
57;Paraguay;1b;72,5;5,8;49,2;2,99;45,8;6Ê454Ê000 ; 5Ê181 ;105
58;Nepal;5a;68,8;3,8;35,9;0,76;45,6;29Ê959Ê000 ; 1Ê199 ;121
59;Cyprus;2e;79,6;6,4;57,4;4,44;45,5;1Ê103Ê000 ; 31Ê092 ;24
60;China;6a;73,5;4,7;43,1;2,13;44,7;1Ê338Ê300Ê000 ; 7Ê599 ;99
61;Myanmar;5a;65,2;5,3;41,6;1,94;44,2;47Ê963Ê000 ; 1Ê950 ;149
62;Spain;2e;81,4;6,2;57,4;4,74;44,1;46Ê071Ê000 ; 32Ê230 ;29
63;Korea;6b;80,6;6,1;56,4;4,62;43,8;48Ê875Ê000 ; 29Ê101 ;36
64;Bolivia;1b;66,6;5,8;44,9;2,61;43,6;9Ê929Ê000 ; 4Ê849 ;95
65;Canada;2b;81,0;7,7;66,3;6,43;43,6;34Ê126Ê000 ; 39Ê050 ;9
66;Malta;2e;79,6;5,8;53,6;4,26;43,1;416Ê000 ; 26Ê445 ;20
67;Netherlands;2c;80,7;7,5;65,1;6,34;43,1;16Ê616Ê000 ; 42Ê165 ;8
68;Yemen;3b;65,5;3,9;34,7;0,87;43,0;24Ê053Ê000 ; 2Ê653 ;138
69;Lebanon;3b;72,6;5,2;45,6;2,85;42,9;4Ê227Ê000 ; 14Ê069 ;104
70;Finland;2d;80,0;7,4;63,9;6,21;42,7;5Ê364Ê000 ; 36Ê473 ;1
71;Poland;7b;76,1;5,8;51,3;3,94;42,6;38Ê184Ê000 ; 19Ê885 ;31
72;Malawi;4a;54,2;5,1;33,9;0,78;42,5;14Ê901Ê000 ; 882 ;72
73;Ireland;2c;80,6;7,3;63,5;6,22;42,4;4Ê475Ê000 ; 40Ê464 ;13
74;Bosnia and Herzegovina;7b;75,7;4,7;44,5;2,74;42,4;3Ê760Ê000 ; 8Ê690 ;86
75;Romania;7b;74,0;4,9;44,9;2,84;42,2;21Ê438Ê000 ; 14Ê524 ;50
76;Australia;2a;81,9;7,4;65,5;6,68;42,0;22Ê299Ê000 ; 38Ê160 ;10
77;Iran;3b;73,0;4,8;43,5;2,66;41,7;73Ê973Ê000 ; 11Ê570 ;136
78;Haiti;1a;62,1;3,8;32,2;0,60;41,3;9Ê993Ê000 ; 1Ê111 ;133
79;Serbia;7b;74,5;4,5;42,6;2,57;41,3;7Ê291Ê000 ; 11Ê349 ;64
80;Azerbaijan;7a;70,7;4,2;39,1;1,97;40,9;9Ê054Ê000 ; 9Ê936 ;114
81;Libya;3a;74,8;4,9;45,4;3,19;40,8;6Ê355Ê000 ; 16Ê987 ;130
82;Croatia;7b;76,6;5,6;50,5;4,19;40,6;4Ê418Ê000 ; 19Ê543 ;44
83;Greece;2e;79,9;5,8;54,2;4,92;40,5;11Ê316Ê000 ; 28Ê408 ;45
84;Malaysia;6c;74,2;5,6;48,8;3,90;40,5;28Ê401Ê000 ; 14Ê731 ;46
85;Cambodia;6c;63,1;4,2;34,6;1,19;40,3;14Ê139Ê000 ; 2Ê194 ;115
86;Ghana;4c;64,2;4,6;37,4;1,74;40,3;24Ê392Ê000 ; 1Ê644 ;55
87;Slovenia;7b;79,3;6,1;55,3;5,21;40,2;2Ê049Ê000 ; 26Ê925 ;28
88;Iceland;2d;81,8;6,9;62,1;6,54;40,2;318Ê000 ; 35Ê642 ;16
89;Slovakia;7b;75,4;6,1;52,4;4,66;40,1;5Ê430Ê000 ; 23Ê303 ;32
90;Singapore;6b;81,1;6,5;59,4;6,10;39,8;5Ê077Ê000 ; 57Ê932 ;12
91;Egypt;3a;73,2;3,9;38,5;2,06;39,6;81Ê121Ê000 ; 6Ê180 ;98
92;Czech Republic;7b;77,7;6,2;54,6;5,27;39,4;10Ê520Ê000 ; 24Ê518 ;27
93;Uruguay;1c;77,0;6,1;53,6;5,08;39,3;3Ê357Ê000 ; 14Ê108 ;30
94;Ethiopia;4b;59,3;4,4;33,5;1,13;39,2;82Ê950Ê000 ; 1Ê041 ;124
95;Turkmenistan;7a;65,0;6,6;47,8;3,98;39,1;5Ê042Ê000 ; 8Ê274 ;144
96;Namibia;4a;62,5;4,9;37,8;2,03;38,9;2Ê283Ê000 ; 6Ê475 ;47
97;Portugal;2e;79,5;4,9;48,0;4,12;38,7;10Ê638Ê000 ; 25Ê416 ;26
98;Kenya;4b;57,1;4,3;31,7;0,95;38,0;40Ê513Ê000 ; 1Ê651 ;107
99;Zambia;4a;49,0;5,3;31,0;0,84;37,7;12Ê927Ê000 ; 1Ê562 ;83
100;Ukraine;7c;68,5;5,1;42,3;3,19;37,6;45Ê871Ê000 ; 6Ê721 ;96
101;Sudan;4b;61,5;4,4;34,8;1,63;37,6;43Ê552Ê000 ; 2Ê256 ;147
